2,北京,BJP,beijing,bj,bji,116.427282,39.903716
3,北京南,VNP,beijingnan,bjn,bjn,116.379092,39.864881
4,北京西,BXP,beijingxi,bjx,bjx,116.321337,39.894966
5,广州南,IZQ,guangzhounan,gzn,gzn,113.269462,22.988878
6,重庆北,CUW,chongqingbei,cqb,cqb,106.550967,29.608358
9,广州东,GGQ,guangzhoudong,gzd,gzd,113.32471,23.149617
10,上海,SHH,shanghai,sh,sha,121.455148,31.248732
11,上海南,SNH,shanghainan,shn,shn,121.429489,31.153304
12,上海虹桥,AOH,shanghaihongqiao,shhq,shq,121.320876,31.194237
13,上海西,SXH,shanghaixi,shx,shx,121.402728,31.262721
15,天津,TJP,tianjin,tj,tji,117.209202,39.135483
16,天津南,TIP,tianjinnan,tjn,tjn,117.060761,39.057057
17,天津西,TXP,tianjinxi,tjx,tjx,117.163261,39.158447
18,长春,CCT,changchun,cc,cch,125.324108,43.909914
20,长春西,CRT,changchunxi,ccx,ccx,125.20111,43.876921
21,成都东,ICW,chengdudong,cdd,cdd,104.141625,30.62886
22,成都南,CNW,chengdunan,cdn,cdn,104.068464,30.605893
23,成都,CDW,chengdu,cd,cdu,104.073403,30.696772
25,长沙南,CWQ,changshanan,csn,csn,113.063633,28.146749
26,福州,FZS,fuzhou,fz,fzh,119.319633,26.112957
27,福州南,FYS,fuzhounan,fzn,fzn,119.390021,25.98578
28,贵阳,GIW,guiyang,gy,gya,106.703163,26.556883
29,广州,GZQ,guangzhou,gz,gzh,113.257633,23.148876
31,哈尔滨,HBB,haerbin,heb,heb,126.632979,45.761554
33,哈尔滨西,VAB,haerbinxi,hebx,hex,126.578564,45.706451
34,合肥,HFH,hefei,hf,hfe,117.31668,31.884784
36,呼和浩特东,NDC,huhehaotedong,hhhtd,hhd,111.765567,40.850342
37,呼和浩特,HHC,huhehaote,hhht,hht,111.665793,40.830895
38,海口东,HMQ,haikoudong,hkd,hkd,110.343103,19.983627
40,海口,VUQ,haikou,hk,hko,110.162554,20.027465
41,杭州东,HGH,hangzhoudong,hzd,hzd,120.213041,30.291089
42,杭州,HZH,hangzhou,hz,hzh,120.18252,30.243753
44,济南,JNK,jinan,jn,jna,116.991734,36.670651
46,济南西,JGK,jinanxi,jnx,jnx,116.892552,36.669033
51,兰州,LZJ,lanzhou,lz,lzh,103.851238,36.034823
52,兰州西,LAJ,lanzhouxi,lzx,lzx,103.752739,36.068391
53,南昌,NCG,nanchang,nc,nch,115.918815,28.662012
54,南京,NJH,nanjing,nj,nji,118.796665,32.086372
55,南京南,NKH,nanjingnan,njn,njn,118.798175,31.96898
56,南宁,NNZ,nanning,nn,nni,108.31534,22.826642
58,石家庄,SJP,shijiazhuang,sjz,sjz,114.483011,38.010509
59,沈阳,SYT,shenyang,sy,sya,123.393544,41.795146
60,沈阳北,SBT,shenyangbei,syb,syb,123.436584,41.818333
65,武汉,WHN,wuhan,wh,wha,114.424252,30.607478
67,乌鲁木齐南,WMR,wulumuqinan,wlmqn,wln,87.586258,43.78034
68,西安北,EAY,xianbei,xab,xab,108.938568,34.376076
71,西宁,XNO,xining,xn,xni,101.81383,36.620239
73,郑州,ZZF,zhengzhou,zz,zzh,113.660789,34.746514
80,安庆,AQH,anqing,aq,aqi,117.065379,30.549098
85,蚌埠,BBH,bengbu,bb,bbu,117.37762,32.943937
87,北海,BHZ,beihai,bh,bha,109.128222,21.453139
93,百色,BIZ,baise,bs,bse,106.664238,23.885593
96,包头东,BDC,baotoudong,btd,btd,110.024867,40.570342
97,包头,BTC,baotou,bt,bto,109.836057,40.606262
99,本溪,BXT,benxi,bx,bxi,123.759107,41.295286
109,苍南,CEH,cangnan,cn,cna,120.412128,27.527619
118,池州,IYH,chizhou,cz,czh,117.522087,30.619559
120,常州,CZH,changzhou,cz,czh,119.973395,31.785408
127,丹东,DUT,dandong,dd,ddo,124.388029,40.12427
132,敦化,DHL,dunhua,dh,dhu,128.242129,43.380599
136,都江堰,DDW,dujiangyan,djy,djy,103.638499,30.957391
137,大连北,DFT,dalianbei,dlb,dlb,121.607416,39.016775
139,大连,DLT,dalian,dl,dli,121.632832,38.922303
149,达州,RXW,dazhou,dz,dzh,107.453435,31.198531
153,恩施,ESN,enshi,es,esh,109.484826,30.348677
154,福鼎,FES,fuding,fd,fdi,120.190183,27.282795
155,凤凰机场,FJQ,fenghuangjichang,fhjc,fhc,109.407528,18.3089
159,抚顺北,FET,fushunbei,fsb,fsb,123.917987,41.888691
166,桂林北,GBZ,guilinbei,glb,glb,110.301969,25.329235
168,桂林,GLZ,guilin,gl,gli,110.282539,25.261227
173,广州北,GBQ,guangzhoubei,gzb,gzb,113.204561,23.37696
174,赣州,GZG,ganzhou,gz,gzh,114.964418,25.8195
176,公主岭南,GBT,gongzhulingnan,gzln,gzn,124.815702,43.473132
191,汉口,HKN,hankou,hk,hko,114.255309,30.618455
197,哈密,HMR,hami,hm,hmi,93.505869,42.849819
200,海宁西,EUH,hainingxi,hnx,hnx,120.391759,30.438696
206,黄石,HSN,huangshi,hs,hsh,114.940824,30.154082
211,贺州,HXZ,hezhou,hz,hzh,111.539662,24.454154
224,金华南,RNH,jinhuanan,jhn,jhn,119.738689,29.114217
225,金华,JBH,jinhua,jh,jhu,119.635526,29.110163
226,九江,JJG,jiujiang,jj,jji,116.005962,29.704792
227,吉林,JLL,jilin,jl,jli,126.578014,43.858614
231,集宁南,JAC,jiningnan,jnn,jnn,113.099336,41.031426
233,江山,JUH,jiangshan,js,jsh,118.643701,28.771946
241,江油,JFW,jiangyou,jy,jyo,104.770434,31.781457
243,金州,JZT,jinzhou,jz,jzh,121.727277,39.087947
245,开封,KFF,kaifeng,kf,kfe,114.353134,34.771189
249,昆山南,KNH,kunshannan,ksn,ksn,120.950857,31.353254
252,六安,UAH,luan,la,lan,116.500346,31.715173
257,利川,LCN,lichuan,lc,lch,108.940287,30.278346
282,龙岩,LYS,longyan,ly,lya,117.006442,25.095996
288,洛阳龙门,LLF,luoyanglongmen,lylm,lym,112.458337,34.593815
293,柳州,LZZ,liuzhou,lz,lzh,109.388712,24.307458
294,辽中,LZD,liaozhong,lz,lzh,122.771232,41.559091
307,绵阳,MYW,mianyang,my,mya,104.717547,31.459053
311,宁波,NGH,ningbo,nb,nbo,121.536949,29.862082
313,南充,NCW,nanchong,nc,nch,106.086145,30.807573
325,盘锦,PVD,panjin,pj,pji,122.062019,41.197805
332,郫县西,PCW,pixianxi,pxx,pxx,103.879573,30.823889
335,青城山,QSW,qingchengshan,qcs,qcs,103.606666,30.892152
336,青岛,QDK,qingdao,qd,qda,120.313423,36.064599
341,齐齐哈尔,QHX,qiqihaer,qqhe,qqe,123.995088,47.339429
345,泉州,QYS,quanzhou,qz,qzh,118.568081,24.973091
346,衢州,QEH,quzhou,qz,qzh,118.88088,28.923797
349,瑞金,RJG,ruijin,rj,rji,116.055572,25.863797
354,山海关,SHD,shanhaiguan,shg,shg,119.766748,40.001031
363,遂宁,NIW,suining,sn,sni,105.542834,30.542062
365,商丘,SQF,shangqiu,sq,sqi,115.65697,34.443853
366,上饶,SRG,shangrao,sr,sra,118.006477,28.490461
372,三亚,SEQ,sanya,sy,sya,109.492735,18.296449
374,邵阳,SYQ,shaoyang,sy,sya,111.461058,27.213477
375,十堰,SNN,shiyan,sy,sya,110.781642,32.603608
378,深圳,SZQ,shenzhen,sz,szh,114.117206,22.53183
379,苏州,SZH,suzhou,sz,szh,120.610731,31.329673
380,随州,SZN,suizhou,sz,szh,113.417323,31.720941
387,塘沽,TGP,tanggu,tg,tgu,117.642561,39.02693
397,唐山北,FUP,tangshanbei,tsb,tsb,118.119025,39.817405
400,唐山,TSP,tangshan,ts,tsh,118.119548,39.625689
408,武昌,WCN,wuchang,wc,wch,114.317852,30.528647
410,威海,WKK,weihai,wh,wha,122.144446,37.42429
411,芜湖,WHH,wuhu,wh,whu,118.392744,31.348381
421,无锡,WXH,wuxi,wx,wxi,120.305362,31.587292
429,温州南,VRH,wenzhounan,wzn,wzn,120.585324,27.966013
437,新会,EFQ,xinhui,xh,xhu,113.071234,22.517449
441,厦门北,XKS,xiamenbei,xmb,xmb,118.074039,24.636219
442,厦门,XMS,xiamen,xm,xme,118.115433,24.468293
451,襄阳,XFN,xiangyang,xy,xya,112.154902,32.057829
456,徐州,XCH,xuzhou,xz,xzh,117.207097,34.265243
457,延安,YWY,yanan,ya,yan,109.480578,36.557283
461,宜昌东,HAN,yichangdong,ycd,ycd,111.368705,30.658908
479,亚龙湾,TWQ,yalongwan,ylw,ylw,109.602276,18.302561
490,营山,NUW,yingshan,ys,ysh,106.568704,31.065258
494,烟台,YAK,yantai,yt,yta,121.382522,37.54807
497,义乌,YWH,yiwu,yw,ywu,120.043509,29.378183
498,阳新,YON,yangxin,yx,yxi,115.181117,29.861129
502,崖州,YUQ,yazhou,yz,yzh,109.157443,18.376817
503,永州,AOQ,yongzhou,yz,yzh,111.571166,26.454129
505,淄博,ZBK,zibo,zb,zbo,118.057297,36.789189
508,珠海,ZHQ,zhuhai,zh,zha,113.550064,22.215235
509,珠海北,ZIQ,zhuhaibei,zhb,zhb,113.551431,22.40106
511,镇江,ZJH,zhenjiang,zj,zji,119.432796,32.196997
525,枣庄,ZEK,zaozhuang,zz,zzh,117.30554,34.78126
531,安达,ADX,anda,ad,ada,125.32266,46.402478
532,安德,ARW,ande,ad,ade,103.811957,30.874284
538,鳌江,ARH,aojiang,aj,aji,120.545893,27.62562
546,安陆,ALN,anlu,al,alu,113.695131,31.25681
550,鞍山西,AXT,anshanxi,asx,asx,122.915734,41.117906
552,安亭北,ASH,antingbei,atb,atb,121.158305,31.31446
556,博鳌,BWQ,boao,ba,bao,110.487377,19.136272
559,蚌埠南,BMH,bengbunan,bbn,bbn,117.441597,32.901631
562,北戴河,BEP,beidaihe,bdh,bdh,119.420099,39.851931
563,保定,BDP,baoding,bd,bdi,115.479253,38.863753
566,巴东,BNN,badong,bd,bdo,110.357817,30.662827
571,宝华山,BWH,baohuashan,bhs,bhs,119.055706,32.14919
575,北滘,IBQ,beijiao,b,bji,113.263941,22.91527
576,碧江,BLQ,bijiang,bj,bji,113.262101,22.950198
618,鲅鱼圈,BYT,bayuquan,byq,byq,122.094348,40.18794
624,赤壁北,CIN,chibibei,cbb,cbb,113.900578,29.735707
647,昌乐,CLK,changle,cl,cle,118.838991,36.710527
655,常平,DAQ,changping,cp,cpi,114.006232,22.983291
667,昌图西,CPT,changtuxi,ctx,ctx,124.067808,42.778191
684,常州北,ESH,changzhoubei,czb,czb,119.955497,31.854055
685,滁州,CXH,chuzhou,cz,czh,118.320349,32.198475
690,郴州西,ICQ,chenzhouxi,czx,czx,112.96966,25.735955
691,沧州西,CBP,cangzhouxi,czx,czx,116.76789,38.306999
692,德安,DAG,dean,da,dan,115.766664,29.309655
707,东方,UFQ,dongfang,df,dfa,108.691492,19.088479
719,德惠西,DXT,dehuixi,dhx,dhx,125.677393,44.545863
741,大庆东,LFX,daqingdong,dqd,dqd,125.123235,46.533519
746,大庆西,RHX,daqingxi,dqx,dqx,124.885966,46.656765
747,东升,DRQ,dongsheng,ds,dsh,113.291663,22.62269
750,登沙河,DWT,dengshahe,dsh,dsh,122.060916,39.221369
760,丹徒,RUH,dantu,dt,dtu,119.520269,32.114958
776,德阳,DYW,deyang,dy,dya,104.390024,31.166105
777,丹阳,DYH,danyang,dy,dya,119.592629,32.002104
780,丹阳北,EXH,danyangbei,dyb,dyb,119.670936,32.014536
781,大英东,IAW,dayingdong,dyd,dyd,105.279404,30.567822
784,定远,EWH,dingyuan,dy,dyu,117.842383,32.574429
790,德州东,DIP,dezhoudong,dzd,dzd,116.461465,37.409545
811,鄂州,ECN,ezhou,ez,ezh,114.866522,30.361592
812,福安,FAS,fuan,fa,fan,119.717283,26.834119
815,肥东,FIH,feidong,fd,fdo,117.485729,31.862292
821,奉化,FHH,fenghua,fh,fhu,121.464136,29.628235
830,福清,FQS,fuqing,fq,fqi,119.38502,25.675652
835,抚顺,FST,fushun,fs,fsh,123.903057,41.863728
840,富县东,FDY,fuxiandong,fxd,fxd,109.398713,36.021252
846,扶余北,FBT,fuyubei,fyb,fyb,126.003141,45.008369
860,谷城,GCN,gucheng,gc,gch,111.602395,32.264809
868,贵港,GGZ,guigang,gg,gga,109.613257,23.099028
885,高密,GMK,gaomi,gm,gmi,119.76815,36.392568
892,共青城,GAG,gongqingcheng,gqc,gqc,115.774905,29.242032
911,巩义南,GYF,gongyinan,gyn,gyn,112.916597,34.670631
917,古镇,GNQ,guzhen,gz,gzh,113.20568,22.598279
924,冠豸山,GSS,guanzhishan,gzs,gzs,116.679175,25.524038
925,盖州西,GAT,gaizhouxi,gzx,gzx,122.273784,40.404792
928,红安西,VXN,honganxi,hax,hax,114.630979,31.003919
935,合川,WKW,hechuan,hc,hch,106.277404,29.95978
937,汉川,HCN,hanchuan,hc,hch,113.813139,30.541545
941,海城西,HXT,haichengxi,hcx,hcx,122.65938,40.914379
948,红光镇,IGW,hongguangzhen,hgz,hgz,103.944214,30.771434
958,涵江,HJS,hanjiang,hj,hji,119.175996,25.491598
967,葫芦岛北,HPD,huludaobei,hldb,hlb,120.76358,40.743347
988,花桥,VQH,huaqiao,hq,hqi,121.045246,31.335533
992,华山北,HDY,huashanbei,hsb,hsb,110.099097,34.581432
999,惠山,VCH,huishan,hs,hsh,120.199533,31.67024
1004,衡山西,HEQ,hengshanxi,hsx,hsx,112.789406,27.247774
1021,衡阳东,HVQ,hengyangdong,hyd,hyd,112.709676,26.896446
1030,湖州,VZH,huzhou,hz,hzh,120.023526,30.863435
1057,晋江,JJS,jinjiang,jj,jji,118.458709,24.794532
1063,江门,JWQ,jiangmen,jm,jme,113.103291,22.561139
1064,角美,JES,jiaomei,jm,jme,117.880286,24.526534
1071,金山北,EGH,jinshanbei,jsb,jsb,121.089579,30.894218
1073,建始,JRN,jianshi,js,jsh,109.728324,30.567821
1080,嘉善南,EAH,jiashannan,jsn,jsn,120.935639,30.787984
1084,九台南,JNL,jiutainan,jtn,jtn,125.81169,44.02251
1092,嘉兴南,EPH,jiaxingnan,jxn,jxn,120.79978,30.690965
1105,胶州北,JZK,jiaozhoubei,jzb,jzb,120.05592,36.396508
1108,荆州,JBN,jingzhou,jz,jzh,112.213109,30.368305
1109,金寨,JZH,jinzhai,jz,jzh,115.97572,31.625681
1112,锦州南,JOD,jinzhounan,jzn,jzn,121.12588,41.016907
1113,焦作,JOF,jiaozuo,jz,jzu,113.234925,35.222865
1129,昆山,KSH,kunshan,ks,ksh,120.956936,31.365716
1135,开原西,KXT,kaiyuanxi,kyx,kyx,123.918484,42.549692
1139,灵宝西,LPF,lingbaoxi,lbx,lbx,110.688911,34.577465
1151,廊坊,LJP,langfang,lf,lfa,116.708118,39.509275
1160,临海,UFH,linhai,lh,lha,121.246225,28.879883
1172,连江,LKS,lianjiang,lj,lji,119.566523,26.194396
1179,龙嘉,UJL,longjia,lj,lji,125.700812,43.992789
1210,陵水,LIQ,lingshui,ls,lsh,110.033014,18.53615
1213,丽水,USH,lishui,ls,lsh,119.953894,28.441475
1217,庐山,LSG,lushan,ls,lsh,115.88205,29.598101
1220,龙山镇,LAS,longshanzhen,lsz,lsz,117.362678,24.691875
1222,李石寨,LET,lishizhai,lsz,lsz,123.72752,41.817263
1240,滦县,UXP,luanxian,lx,lxi,118.705792,39.757596
1242,莱阳,LYK,laiyang,ly,lya,120.709011,36.927889
1243,辽阳,LYT,liaoyang,ly,lya,123.168998,41.281879
1249,龙游,LMH,longyou,ly,lyo,119.16577,29.003253
1250,罗源,LVS,luoyuan,ly,lyu,119.577058,26.455762
1254,耒阳西,LPQ,leiyangxi,lyx,lyx,112.788199,26.414996
1263,兰州新区,LQJ,lanzhouxinqu,lzxq,lzq,103.618829,36.469405
1267,麻城北,MBN,machengbei,mcb,mcb,114.984773,31.186877
1271,渑池南,MNF,mianchinan,mcn,mcn,111.773815,34.6854
1281,美兰,MHQ,meilan,ml,mla,110.46137,19.941565
1282,汨罗东,MQQ,miluodong,mld,mld,113.144065,28.745926
1313,明珠,MFQ,mingzhu,mz,mzh,113.51498,22.268729
1320,宁德,NES,ningde,nd,nde,119.583733,26.669308
1325,宁海,NHH,ninghai,nh,nha,121.420178,29.336662
1330,南靖,NJS,nanjing,nj,nji,117.449662,24.578057
1335,南朗,NNQ,nanlang,nl,nla,113.534338,22.48966
1349,南头,NOQ,nantou,nt,nto,113.308917,22.71301
1352,南翔北,NEH,nanxiangbei,nxb,nxb,121.309254,31.281559
1361,蓬安,PAW,pengan,pa,pan,106.424243,31.000399
1371,瓢儿屯,PRT,piaoertun,pet,pet,123.795771,41.843571
1376,平果,PGZ,pingguo,pg,pgu,107.565752,23.316166
1379,盘锦北,PBD,panjinbei,pjb,pjb,121.807887,41.335531
1392,莆田,PTS,putian,pt,pti,119.064082,25.350925
1394,普湾,PWT,puwan,pw,pwa,121.812812,39.330093
1398,郫县,PWW,pixian,px,pxi,103.907871,30.808264
1416,曲阜东,QAK,qufudong,qfd,qfd,117.069102,35.556544
1420,琼海,QYQ,qionghai,qh,qha,110.491289,19.240211
1421,秦皇岛,QTP,qinhuangdao,qhd,qhd,119.59203,39.965093
1428,潜江,QJN,qianjiang,qj,qji,112.939147,30.389121
1429,全椒,INH,quanjiao,qj,qji,118.281926,32.061666
1444,前山,QXQ,qianshan,qs,qsh,113.52624,22.234268
1445,戚墅堰,QYH,qishuyan,qsy,qsy,120.067767,31.722879
1446,青田,QVH,qingtian,qt,qti,120.279913,28.136509
1463,清远,QBQ,qingyuan,qy,qyu,113.134569,23.693899
1465,钦州东,QDZ,qinzhoudong,qzd,qzd,108.668383,21.979244
1467,青州市,QZK,qingzhoushi,qzs,qzs,118.503781,36.771306
1468,瑞安,RAH,ruian,ra,ran,120.581153,27.766737
1470,瑞昌,RCG,ruichang,rc,rch,115.671356,29.688516
1472,容桂,RUQ,ronggui,rg,rgu,113.312489,22.751814
1487,双城北,SBB,shuangchengbei,scb,scb,126.27174,45.426856
1497,顺德,ORQ,shunde,sd,sde,113.276591,22.875641
1503,顺德学院,OJQ,shundexueyuan,sdxy,sdy,113.32054,22.822305
1504,绅坊,OLH,shenfang,sf,sfa,120.992023,28.197143
1510,韶关,SNQ,shaoguan,sg,sgu,113.514421,24.750881
1528,水家湖,SQH,shuijiahu,sjh,sjh,117.168891,32.482912
1537,松江南,IMH,songjiangnan,sjn,sjn,121.229999,30.983384
1557,萨拉齐,SLC,salaqi,slq,slq,110.5322,40.564453
1562,三门峡南,SCF,sanmenxianan,smxn,smn,111.160173,34.748647
1563,三门县,OQH,sanmenxian,smx,smx,121.363209,29.055158
1569,四平东,PPT,sipingdong,spd,spd,124.435935,43.138267
1620,绥中北,SND,suizhongbei,szb,szb,120.324497,40.348462
1621,苏州北,OHH,suzhoubei,szb,szb,120.643315,31.421618
1622,宿州东,SRH,suzhoudong,szd,szd,117.251064,33.675443
1631,苏州园区,KAH,suzhouyuanqu,szyq,szq,120.710713,31.341177
1632,苏州新区,ITH,suzhouxinqu,szxq,szq,120.524936,31.371963
1633,泰安,TMK,taian,ta,tan,117.035353,36.172188
1634,台安,TID,taian,ta,tan,122.430708,41.445795
1657,唐家湾,PDQ,tangjiawan,tjw,tjw,113.551852,22.363043
1659,泰康,TKX,taikang,tk,tka,124.448029,46.871205
1662,铜陵,TJH,tongling,tl,tli,117.858657,30.919839
1666,铁岭西,PXT,tielingxi,tlx,tlx,123.672317,42.233245
1667,图们北,QSL,tumenbei,tmb,tmb,129.799865,42.997069
1669,天门南,TNN,tianmennan,tmn,tmn,113.456953,30.427446
1670,太姥山,TLS,taimushan,tms,tms,120.224477,27.126927
1673,潼南,TVW,tongnan,tn,tna,105.87798,30.219309
1687,土溪,TSW,tuxi,tx,txi,107.060781,31.014341
1688,桐乡,TCH,tongxiang,tx,txi,120.567464,30.537436
1689,田阳,TRZ,tianyang,ty,tya,106.935927,23.765933
1696,滕州东,TEK,tengzhoudong,tzd,tzd,117.257683,35.090542
1697,台州,TZH,taizhou,tz,tzh,121.289654,28.685906
1708,文昌,WEQ,wenchang,wc,wch,110.737657,19.606514
1719,潍坊,WFK,weifang,wf,wfa,119.098308,36.697159
1722,瓦房店西,WXT,wafangdianxi,wfdx,wfx,121.837837,39.657041
1742,温岭,VHH,wenling,wl,wli,121.325271,28.479122
1747,渭南北,WBY,weinanbei,wnb,wnb,109.481271,34.536309
1749,万宁,WNQ,wanning,wn,wni,110.381587,18.807867
1757,武清,WWP,wuqing,wq,wqi,117.016277,39.372607
1765,无锡东,WGH,wuxidong,wxd,wxd,120.46023,31.596935
1769,无锡新区,IFH,wuxixinqu,wxxq,wxq,120.392207,31.497807
1831,小榄,EAQ,xiaolan,xl,xla,113.269966,22.64724
1840,仙林,XPH,xianlin,xl,xli,118.912736,32.122743
1848,咸宁北,XRN,xianningbei,xnb,xnb,114.301473,29.898662
1851,犀浦东,XAW,xipudong,xpd,xpd,103.990865,30.736382
1855,霞浦,XOS,xiapu,xp,xpu,120.033225,26.908695
1857,犀浦,XIW,xipu,xp,xpu,103.972417,30.757224
1863,徐水,XSP,xushui,xs,xsh,115.645144,39.03337
1870,杏树屯,XDT,xingshutun,xst,xst,122.158214,39.26735
1874,仙桃西,XAN,xiantaoxi,xtx,xtx,113.140002,30.425014
1892,襄阳东,XWN,xiangyangdong,xyd,xyd,112.226673,32.097038
1903,徐州东,UUH,xuzhoudong,xzd,xzd,117.304004,34.267591
1919,阳澄湖,AIH,yangchenghu,ych,ych,120.861909,31.380605
1941,雁荡山,YGH,yandangshan,yds,yds,121.152086,28.341667
1942,于都,YDG,yudu,yd,ydu,115.416924,25.975525
1944,英德西,IIQ,yingdexi,ydx,ydx,113.350458,24.160398
1950,余杭,EVH,yuhang,yh,yha,120.295452,30.380725
1954,永嘉,URH,yongjia,yj,yji,120.695341,28.069111
1966,营口东,YGT,yingkoudong,ykd,ykd,122.428897,40.625291
1980,玉门,YXJ,yumen,ym,yme,97.927348,39.814306
1981,云梦,YMN,yunmeng,ym,yme,113.7383,31.021074
1990,阳泉北,YPP,yangquanbei,yqb,yqb,113.438244,38.115185
1991,乐清,UPH,yueqing,yq,yqi,120.859754,28.084421
2017,永修,ACG,yongxiu,yx,yxi,115.816248,29.020236
2018,弋阳,YIG,yiyang,yy,yya,117.445175,28.4109
2021,岳阳东,YIQ,yueyangdong,yyd,yyd,113.207647,29.366583
2036,中川机场,ZJJ,zhongchuanjichang,zcjc,zcc,103.61598,36.504134
2043,正定,ZDP,zhengding,zd,zdi,114.556917,38.162601
2044,肇东,ZDB,zhaodong,zd,zdo,125.998261,46.076712
2050,枝江北,ZIN,zhijiangbei,zjb,zjb,111.772237,30.477026
2055,诸暨,ZDH,zhuji,zj,zji,120.185436,29.727684
2056,镇江南,ZEH,zhenjiangnan,zjn,zjn,119.424136,32.152451
2067,樟木头,ZOQ,zhangmutou,zmt,zmt,114.067717,22.901235
